GAME OF THE YEAR,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
THE WITCHER 3: WILD HUNT (1st),https://en.wikipedia.org/wiki/The_Witcher_3:_Wild_Hunt,CD Projekt Red,CD Projekt,Microsoft Windows | PlayStation 4 | Xbox One | Nintendo Switch | ,Windows  PS4  Xbox One: 19 May 2015 | Nintendo Switch: 15 October 2019 | ,Action role-playing,Single-player
Bloodborne,https://en.wikipedia.org/wiki/Bloodborne,FromSoftware,Sony Computer Entertainment,PlayStation 4,NA: March 24  2015: PAL: March 25  2015 | JP: March 26  2015: UK: March 27  2015 | ,Action role-playing,Single-player |  multiplayer
Fallout 4,https://en.wikipedia.org/wiki/Fallout_4,Bethesda Game Studios[a],Bethesda Softworks,Microsoft Windows | PlayStation 4 | Xbox One | ,November 10  2015,Action role-playing,Single-player
Metal Gear Solid V: The Phantom Pain,https://en.wikipedia.org/wiki/Metal_Gear_Solid_V:_The_Phantom_Pain,Kojima Productions[a],Konami,Microsoft Windows | PlayStation 3 | PlayStation 4 | Xbox 360 | Xbox One | ,WW: September 1  2015: JP: September 2  2015 | ,Action-adventure  stealth,Single-player |  multiplayer
Super Mario Maker,https://en.wikipedia.org/wiki/Super_Mario_Maker,Nintendo EAD,Nintendo,Wii U  Nintendo 3DS,JP: September 10  2015: NA/EU: September 11  2015 | AU: September 12  2015: JP: December 1  2016 | NA/EU: December 2  2016: AU: December 3  2016 | ,Level editor  platform,Single-player

BEST INDEPENDENT GAME,Links,Developer(s),Producer(s),Platform(s),Release,Genre(s),Mode(s),
ROCKET LEAGUE (1st),https://en.wikipedia.org/wiki/Rocket_League,Psyonix[b],Psyonix,Microsoft Windows | PlayStation 4 | Xbox One | macOS | Linux | Nintendo Switch | ,Windows  PlayStation 4: July 7  2015 | Xbox One: February 17  2016 | macOS  Linux: September 8  2016 | Nintendo Switch: November 14  2017 | ,Sports,Single-player |  multiplayer
Axiom Verge,https://en.wikipedia.org/wiki/Axiom_Verge,Thomas Happ Games,Thomas Happ Games,PlayStation 4  PlayStation Vita  Windows  macOS  Linux  Xbox One  Wii U  Nintendo Switch,NA: March 31  2015: PAL: April 20  2015 | WW: May 14  2015: NA: April 19  2016 | PAL: April 20  2016: WW: September 1  2016 | WW: September 30  2016: WW: October 5  2017 | ,Metroidvania,Single-player
Her Story,https://en.wikipedia.org/wiki/Her_Story_(video_game),Sam Barlow,Sam Barlow,iOS | Microsoft Windows | OS X | Android | ,iOS  Windows  OS X: 24 June 2015 | Android: 25 June 2016 | ,Interactive movie,Single-player
Ori and the Blind Forest,https://en.wikipedia.org/wiki/Ori_and_the_Blind_Forest,Moon Studios,Microsoft Studios,Microsoft Windows | Xbox One | Nintendo Switch | ,Windows  Xbox One: March 11  2015 | Nintendo Switch: September 27  2019 | ,Platform-adventure  Metroidvania,Single-player
Undertale,https://en.wikipedia.org/wiki/Undertale,Toby Fox,Toby Fox[a] | 8-4[b] | ,Microsoft Windows | OS X | Linux | PlayStation 4 | PlayStation Vita | Nintendo Switch | ,September 15  2015 ,Role-playing,Single-player

